Disease Name,OrphaCode,Disease Category
Musculoskeletal disease with cataract,98648,Rare ophthalmic disorder
Metabolic disease with cataract,98644,Rare ophthalmic disorder
Renal disease with cataract,98646,Rare ophthalmic disorder
Rare lens disease,98639,Rare ophthalmic disorder
Rare disorder with lens opacification,98640,Rare ophthalmic disorder
Syndromic cataract,98641,Rare ophthalmic disorder
Chromosomal anomaly with cataract,98642,Rare ophthalmic disorder
Corneodysgenesis,98635,Rare developmental defect during embryogenesis
Rare disease with glaucoma as a major feature,98638,Rare ophthalmic disorder
Congenital malformation of the eye with glaucoma as a major feature,98631,Rare developmental defect during embryogenesis
Anterior segment developmental anomaly without extraocular manifestations,98634,Rare developmental defect during embryogenesis
Syndromic corneal dystrophy,98628,Rare ophthalmic disorder
Posterior corneal dystrophy,98627,Rare ophthalmic disorder
Syndromic keratoconus,98623,Rare ophthalmic disorder
Stromal corneal dystrophy,98626,Rare ophthalmic disorder
Superficial corneal dystrophy,98625,Rare ophthalmic disorder
Rare isolated myopia,98619,Rare ophthalmic disorder
Syndromic hyperopia,98622,Rare ophthalmic disorder
Rare hyperopia and astigmatism,98621,Rare ophthalmic disorder
Rare refraction anomaly,98618,Rare ophthalmic disorder
Neu-Laxova syndrome due to phosphoserine aminotransferase deficiency,583602,Rare inborn errors of metabolism
Neu-Laxova syndrome due to 3-phosphoglycerate dehydrogenase deficiency,583607,Rare inborn errors of metabolism
Congenital pulmonary veins anomaly,98729,Rare developmental defect during embryogenesis
"Serine biosynthesis pathway deficiency, infantile/juvenile form",583595,Rare inborn errors of metabolism
Rare atrial defect and interatrial communication,98727,Rare developmental defect during embryogenesis
Noonan syndrome and Noonan-related syndrome,98733,Rare developmental defect during embryogenesis
Neu-Laxova syndrome due to 3-phosphoserine phosphatase deficiency,583612,Rare inborn errors of metabolism
Congenital arteriovenous fistula,98731,Rare developmental defect during embryogenesis
Isolated splenic vein thrombosis,583856,Rare gastroenterologic disease
Neurological muscular channelopathy due to a genetic sodium channel defect,98738,Rare neurologic disease
Isolated mesenteric vein thrombosis,583861,Rare gastroenterologic disease
Genetic neurological muscular channelopathy,98737,Rare neurologic disease
Neurological muscular channelopathy due to a genetic ryanodine receptor defect,98742,Rare neurologic disease
Neurological muscular channelopathy due to a genetic potassium channel defect,98741,Rare neurologic disease
Neurological muscular channelopathy due to a genetic calcium channel defect,98740,Rare neurologic disease
Neurological muscular channelopathy due to a genetic chloride channel defect,98739,Rare neurologic disease
Transposition of the great arteries and conotruncal cardiac anomaly,98717,Rare developmental defect during embryogenesis
Aortic malformation,98718,Rare developmental defect during embryogenesis
Uveitis,98715,Rare ophthalmic disorder
Heart position anomaly,98716,Rare developmental defect during embryogenesis
Congenital tricuspid malformation,98721,Rare developmental defect during embryogenesis
Atrioventricular septal defect,98722,Rare developmental defect during embryogenesis
Pulmonary artery or pulmonary branch anomaly,98719,Rare developmental defect during embryogenesis
Atrioventricular valve anomaly,98720,Rare developmental defect during embryogenesis
Ascending aorta anomaly,98725,Rare developmental defect during embryogenesis
Hypoplastic right heart syndrome,98723,Rare developmental defect during embryogenesis
Congenital anomaly of the great arteries,98724,Rare developmental defect during embryogenesis
Oculocutaneous or ocular albinism,98706,Rare ophthalmic disorder
Rare disorder with strabismus,98681,Rare ophthalmic disorder
Syndromic disorder with strabismus,98683,Rare ophthalmic disorder
Craniostenosis with strabismus,98684,Rare ophthalmic disorder
Rare oculomotor nerve disorder,98685,Rare ophthalmic disorder
Congenital trochlear nerve palsy,98686,Rare ophthalmic disorder
Supranuclear eye movement disorder,98687,Rare ophthalmic disorder
Oculomotor apraxia,98688,Rare ophthalmic disorder
Congenital infiltrating lipomatosis of the face,583097,Rare developmental defect during embryogenesis
Isochromosomy Yq syndrome,98798,Rare developmental defect during embryogenesis
Isochromosomy Yp syndrome,98797,Rare developmental defect during embryogenesis
Angelman syndrome due to paternal uniparental disomy of chromosome 15,98795,Rare developmental defect during embryogenesis
Angelman syndrome due to maternal 15q11q13 deletion,98794,Rare developmental defect during embryogenesis
Prader-Willi syndrome due to paternal 15q11q13 deletion,98793,Rare developmental defect during embryogenesis
Alpha-thalassemia-intellectual disability syndrome linked to chromosome 16,98791,Rare developmental defect during embryogenesis
"Primary dystonia, DYT6 type",98806,Rare neurologic disease
"Primary dystonia, DYT4 type",98805,Rare neurologic disease
Autosomal dominant nocturnal frontal lobe epilepsy,98784,Rare neurologic disease
Spinocerebellar ataxia type 27A,98764,Rare neurologic disease
Spinocerebellar ataxia type 14,98763,Rare neurologic disease
Spinocerebellar ataxia type 5,98766,Rare neurologic disease
Spinocerebellar ataxia type 4,98765,Rare neurologic disease
Spinocerebellar ataxia type 8,98760,Rare neurologic disease
Spinocerebellar ataxia type 17,98759,Rare neurologic disease
Spinocerebellar ataxia type 12,98762,Rare neurologic disease
Spinocerebellar ataxia type 10,98761,Rare neurologic disease
Spinocerebellar ataxia type 19/22,98772,Rare neurologic disease
Spinocerebellar ataxia type 18,98771,Rare neurologic disease
Spinocerebellar ataxia type 21,98773,Rare neurologic disease
Spinocerebellar ataxia type 13,98768,Rare neurologic disease
Spinocerebellar ataxia type 11,98767,Rare neurologic disease
Spinocerebellar ataxia type 15/16,98769,Rare neurologic disease
Neurological channelopathy of the central nervous system due to a genetic glycine receptor defect,98747,Rare neurologic disease
QRICH1-related intellectual disability-chondrodysplasia syndrome,580940,Rare developmental defect during embryogenesis
Neurological channelopathy of the central nervous system due to a genetic acetylcholine receptor defect,98748,Rare neurologic disease
Neurological channelopathy of the central nervous system due to a genetic GABA receptor defect,98749,Rare neurologic disease
Punctate inner choroidopathy,580951,Rare ophthalmic disorder
Autoimmune neurological channelopathy,98750,Rare neurologic disease
Genetic neurological channelopathy of the central nervous system,98743,Rare neurologic disease
Neurological channelopathy of the central nervous system due to a genetic sodium channel defect,98744,Rare neurologic disease
Lethal brain and heart developmental defects,580933,Rare developmental defect during embryogenesis
Neurological channelopathy of the central nervous system due to a genetic calcium channel defect,98745,Rare neurologic disease
Neurological channelopathy of the central nervous system due to a genetic potassium channel defect,98746,Rare neurologic disease
Spinocerebellar ataxia type 1,98755,Rare neurologic disease
Spinocerebellar ataxia type 2,98756,Rare neurologic disease
Spinocerebellar ataxia type 3,98757,Rare neurologic disease
Spinocerebellar ataxia type 6,98758,Rare neurologic disease
Cramp-fasciculation syndrome,581271,Rare neurologic disease
Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15,98754,Rare developmental defect during embryogenesis
Autosomal dominant disease with diffuse palmoplantar keratoderma as a major feature,98352,Rare skin disease
Autosomal dominant disease associated with focal palmoplantar keratoderma as a major feature,98353,Rare skin disease
Autosomal recessive isolated diffuse palmoplantar keratoderma,98356,Rare skin disease
Autosomal recessive disease with focal palmoplantar keratoderma as a major feature,98357,Rare skin disease
Male infertility due to obstructive azoospermia,98343,Rare infertility
Intraductal tubulopapillary neoplasm of pancreas,580572,Rare neoplastic disease
Autosomal dominant isolated diffuse palmoplantar keratoderma,98349,Rare skin disease
Familial partial lipodystrophy,98306,Rare endocrine disease
Genetic lipodystrophy,98305,Rare endocrine disease
Acquired lipodystrophy,98307,Rare endocrine disease
Laminopathy,98301,Rare genetic disease
Idiopathic interstitial pneumonia,98300,Rare respiratory disease
Male infertility due to gonadal dysgenesis,98313,Rare developmental defect during embryogenesis
Partial atrioventricular septal defect with ventricular hypoplasia,576232,Rare developmental defect during embryogenesis
Partial atrioventricular septal defect without ventricular hypoplasia,576235,Rare developmental defect during embryogenesis
Complete atrioventricular septal defect without ventricular hypoplasia,576227,Rare developmental defect during embryogenesis
Constitutional megaloblastic anemia due to vitamin B12 metabolism disorder,98396,Rare hematologic disease
Middle East respiratory syndrome,576074,Rare respiratory disease
Cathepsin A-related arteriopathy-strokes-leukoencephalopathy,575553,Rare neurologic disease
Primary acquired red cell aplasia,98421,Rare hematologic disease
Genetic hemolytic uremic syndrome,576742,Rare renal disease
Vitamin B12- and folate-independent constitutional megaloblastic anemia,98415,Rare hematologic disease
Iatrogenic Creutzfeldt-Jakob disease,576379,Rare neurologic disease
Sporadic human prion disease,576356,Rare neurologic disease
NLRC4-related familial cold autoinflammatory syndrome,576349,Rare systemic or rheumatologic disease
Variant Creutzfeldt-Jakob disease,576370,Rare neurologic disease
Acquired human prion disease,576360,Rare neurologic disease
Intermediate atrioventricular septal defect,576242,Rare developmental defect during embryogenesis
Constitutional megaloblastic anemia due to folate metabolism disorder,98408,Rare hematologic disease
SATB2-associated syndrome due to a pathogenic variant,576283,Rare developmental defect during embryogenesis
SATB2-associated syndrome,576278,Rare developmental defect during embryogenesis
Pheochromocytoma-paraganglioma,573163,Rare endocrine disease
Hemolytic anemia due to an erythrocyte nucleotide metabolism disorder,98374,Rare hematologic disease
Split cord malformation type II,573253,Rare developmental defect during embryogenesis
Hemolytic anemia due to a disorder of glycolytic enzymes,98372,Rare hematologic disease
Hemolytic anemia due to hexose monophosphate shunt and glutathione metabolism anomalies,98370,Rare hematologic disease
Rare constitutional hemolytic anemia due to an enzyme disorder,98369,Rare hematologic disease
Constitutional hemolytic anemia due to acanthocytosis,98366,Rare hematologic disease
Hereditary stomatocytosis,98365,Rare hematologic disease
Rare constitutional hemolytic anemia due to a red cell membrane anomaly,98364,Rare hematologic disease
Rare hemolytic anemia,98363,Rare hematologic disease
Constitutional sideroblastic anemia,98362,Rare hematologic disease
Constitutional anemia due to iron metabolism disorder,98360,Rare hematologic disease
Mendelian susceptibility to mycobacterial diseases due to partial JAK1 deficiency,574957,Rare immune disease
Predisposition to severe viral infection due to IRF7 deficiency,574918,Rare immune disease
Autoimmune hemolytic anemia,98375,Rare hematologic disease
Split cord malformation,573278,Rare developmental defect during embryogenesis
Alpha granule disease,98455,Rare hematologic disease
Dense granule disease,98456,Rare hematologic disease
Skeletal muscle disease,98472,Rare neurologic disease
Muscular dystrophy,98473,Rare neurologic disease
Idiopathic inflammatory myopathy,98482,Rare neurologic disease
Metabolic myopathy,98486,Rare neurologic disease
Brachydactyly type B1,572385,Rare developmental defect during embryogenesis
Blepharophimosis-ptosis-epicanthus inversus syndrome type 2,572361,Rare developmental defect during embryogenesis
Rare coagulation disorder,98429,Rare hematologic disease
Polycythemia,98427,Rare hematologic disease
Secondary polycythemia,98428,Rare hematologic disease
Infantile-onset pulmonary alveolar proteinosis-hypogammaglobulinemia,572428,Rare respiratory disease
Hereditary combined deficiency of vitamin K-dependent clotting factors,98434,Rare hematologic disease
RFVT2-related riboflavin transporter deficiency,572543,Rare neurologic disease
RFVT3-related riboflavin transporter deficiency,572550,Rare neurologic disease
Microcephaly-short stature-limb abnormalities syndrome,572773,Rare developmental defect during embryogenesis
WARS2-related combined oxidative phosphorylation defect,572798,Rare inborn errors of metabolism
DONSON-related microcephaly-short stature-limb abnormalities spectrum,572761,Rare developmental defect during embryogenesis
Microcephaly-micromelia syndrome,572768,Rare developmental defect during embryogenesis
Non-syndromic pontocerebellar hypoplasia,98523,Rare developmental defect during embryogenesis
Posterior fossa malformation,98519,Rare developmental defect during embryogenesis
Neurodegenerative disease with dementia,98534,Rare neurologic disease
Late-onset ataxia with dementia,98540,Rare neurologic disease
Early-onset ataxia with dementia,98539,Rare neurologic disease
Posterior-predominant lissencephaly-broad flat pons and medulla-midline crossing defects syndrome,572013,Rare developmental defect during embryogenesis
Infectious disease with dementia,98542,Rare neurologic disease
Frontotemporal degeneration with dementia,98535,Rare neurologic disease
Ataxia with dementia,98538,Rare neurologic disease
Blepharophimosis-ptosis-epicanthus inversus syndrome plus,572333,Rare developmental defect during embryogenesis
Blepharophimosis-ptosis-epicanthus inversus syndrome type 1,572354,Rare developmental defect during embryogenesis
Rare cerebrovascular dementia,98549,Rare neurologic disease
Cerebral lipidosis with dementia,98544,Rare neurologic disease
Metabolic disease with dementia,98543,Rare neurologic disease
Infective endocarditis,570762,Rare infectious disease
Acquired neuromuscular junction disease,98494,Rare neurologic disease
QRSL1-related combined oxidative phosphorylation defect,570491,Rare inborn errors of metabolism
Neuromuscular junction disease,98491,Rare neurologic disease
Ricin poisoning,570470,Rare hematologic disease
HHV-8-associated multicentric Castleman disease,570438,Rare hematologic disease
Idiopathic multicentric Castleman disease,570431,Rare hematologic disease
Galactose mutarotase deficiency,570422,Rare inborn errors of metabolism
Bartter syndrome type 5,570371,Rare renal disease
Genetic peripheral neuropathy,98497,Rare neurologic disease
Genetic neuromuscular junction disease,98495,Rare neurologic disease
Rare peripheral neuropathy,98496,Rare neurologic disease
Acquired motor neuron disease,98506,Rare neurologic disease
Genetic motor neuron disease,98505,Rare neurologic disease
Motor neuron disease,98503,Rare neurologic disease
Cranial nerve and nuclear aplasia,98518,Rare developmental defect during embryogenesis
Malformation of the cerebellar hemispheres,98516,Rare developmental defect during embryogenesis
Malformation of the cerebellar vermis,98514,Rare developmental defect during embryogenesis
Syndromic anorectal malformation,117573,Rare developmental defect during embryogenesis
Myopathic intestinal pseudoobstruction,104077,Rare gastroenterologic disease
Leiomyosarcoma of small intestine,104076,Rare neoplastic disease
Adenocarcinoma of the small intestine,104075,Rare neoplastic disease
Metabolic disease with intestinal involvement,104013,Rare gastroenterologic disease
Rare inflammatory bowel disease,104012,Rare gastroenterologic disease
Rare tumor of intestine,104011,Rare neoplastic disease
Intestinal polyposis syndrome,104010,Rare gastroenterologic disease
Rare disease involving intestinal motility,104009,Rare gastroenterologic disease
Short bowel syndrome,104008,Rare gastroenterologic disease
Congenital enteropathy involving intestinal mucosa development,104007,Rare gastroenterologic disease
Congenital intestinal disease due to an enzymatic defect,104006,Rare gastroenterologic disease
Intestinal disease due to fat malabsorption,104005,Rare gastroenterologic disease
Intestinal disease due to vitamin absorption anomaly,104004,Rare gastroenterologic disease
Congenital intestinal transport defect,104003,Rare gastroenterologic disease
Undetermined colitis,103920,Rare gastroenterologic disease
Autoimmune pancreatitis,103919,Rare gastroenterologic disease
Tropical pancreatitis,103918,Rare gastroenterologic disease
Congenital enterocyte heparan sulfate deficiency,103910,Rare gastroenterologic disease
Congenital sodium diarrhea,103908,Rare gastroenterologic disease
Trehalase deficiency,103909,Rare gastroenterologic disease
Chronic diarrhea due to glucoamylase deficiency,103907,Rare gastroenterologic disease
Acute myeloid leukemia with t(8;21)(q22;q22) translocation,102724,Rare neoplastic disease
Acute myeloid leukemia and myelodysplastic syndromes related to alkylating agent,102379,Rare neoplastic disease
Acute myeloid leukemia and myelodysplastic syndromes related to topoisomerase type 2 inhibitor,102381,Rare neoplastic disease
Non-syndromic limb malformation,109011,Rare developmental defect during embryogenesis
Syndrome with limb malformations as a major feature,109009,Rare developmental defect during embryogenesis
Rare intestinal disease,117569,Rare gastroenterologic disease
Arthrogryposis syndrome,109007,Rare developmental defect during embryogenesis
Syndromic respiratory or mediastinal malformation,108995,Rare developmental defect during embryogenesis
Non-syndromic respiratory or mediastinal malformation,108993,Rare developmental defect during embryogenesis
Rare disorder due to toxic effects,108999,N/A
Rare anemia,108997,Rare hematologic disease
Syndrome with a central nervous system malformation as a major feature,108991,Rare developmental defect during embryogenesis
Non-syndromic central nervous system malformation,108989,Rare developmental defect during embryogenesis
Non-syndromic diaphragmatic or abdominal wall malformation,108977,Rare developmental defect during embryogenesis
Syndromic diaphragmatic or abdominal wall malformation,108979,Rare developmental defect during embryogenesis
Syndromic intestinal malformation,108969,Rare developmental defect during embryogenesis
Non-syndromic visceral malformation,108971,Rare developmental defect during embryogenesis
Syndromic visceral malformation,108973,Rare developmental defect during embryogenesis
Syndromic esophageal malformation,108961,Rare developmental defect during embryogenesis
Non-syndromic gastroduodenal malformation,108963,Rare developmental defect during embryogenesis
Syndromic gastroduodenal malformation,108965,Rare developmental defect during embryogenesis
Non-syndromic intestinal malformation,108967,Rare developmental defect during embryogenesis
Unclassified intestinal pseudoobstruction,104078,Rare gastroenterologic disease
Non-syndromic esophageal malformation,108959,Rare developmental defect during embryogenesis
Periodic fever syndrome,101995,Rare systemic or rheumatologic disease
Immunodeficiency due to a complement cascade protein anomaly,101992,Rare immune disease
Rare epilepsy,101998,Rare neurologic disease
Primary immunodeficiency,101997,Rare immune disease
Rare ataxia,102002,Rare neurologic disease
Rare movement disorder,102003,Rare neurologic disease
Medullar disease,102000,Rare neurologic disease
Neurovascular malformation,102006,Rare neurologic disease
Brain inflammatory disease,102005,Rare neurologic disease
Immunodeficiency predominantly affecting antibody production,101977,Rare immune disease
Congenital neutropenia,101987,Rare immune disease
Quantitative and/or qualitative congenital phagocyte defect,101985,Rare immune disease
Primary immunodeficiency due to a defect in innate immunity,101988,Rare immune disease
Human herpesvirus 8-related disorder,102024,Rare neoplastic disease
Unexplained periodic fever syndrome,102237,Rare systemic or rheumatologic disease
Multiple congenital anomalies/dysmorphic syndrome-intellectual disability,102283,Rare developmental defect during embryogenesis
Multiple congenital anomalies/dysmorphic syndrome without intellectual disability,102285,Rare developmental defect during embryogenesis
Rare syndromic intellectual disability,102369,Rare neurologic disease
Classic lissencephaly,102009,Rare developmental defect during embryogenesis
Lissencephaly type 3,102011,Rare developmental defect during embryogenesis
Other syndrome with lissencephaly as a major feature,102010,Rare developmental defect during embryogenesis
Complex hereditary spastic paraplegia,102013,Rare neurologic disease
Pure hereditary spastic paraplegia,102012,Rare neurologic disease
Autosomal recessive limb-girdle muscular dystrophy,102015,Rare neurologic disease
Autosomal dominant limb-girdle muscular dystrophy,102014,Rare neurologic disease
Rickettsial disease,102021,Rare infectious disease
Autosomal monosomy syndrome,102020,Rare developmental defect during embryogenesis
Typhus-group rickettsiosis,102023,Rare infectious disease
Spotted fever rickettsiosis,102022,Rare infectious disease
Genetic cardiac rhythm disease,101934,Rare cardiac disease
Anomaly of the mitral subvalvular apparatus,101932,Rare developmental defect during embryogenesis
Rare non-syndromic intellectual disability,101685,Rare neurologic disease
Rare hepatic and biliary tract tumor,101943,Rare neoplastic disease
Rare metabolic liver disease,101940,Rare hepatic disease
Rare biliary tract disease,101941,Rare hepatic disease
Rare vascular liver disease,101938,Rare hepatic disease
Rare parenchymal liver disease,101939,Rare hepatic disease
Rare gastroesophageal disease,101936,Rare gastroenterologic disease
Rare pancreatic disease,101937,Rare gastroenterologic disease
Familial isolated congenital asplenia,101351,Rare developmental defect during embryogenesis
Rare genetic eye disease,101435,Rare ophthalmic disorder
Rare urogenital disease,101433,N/A
Genetic chronic primary adrenal insufficiency,101960,Rare endocrine disease
Acquired chronic primary adrenal insufficiency,101963,Rare endocrine disease
Combined T and B cell immunodeficiency,101972,Rare immune disease
Rare eye tumor,101950,Rare neoplastic disease
Rare bronchopulmonary and pleural cavity tumors,101945,Rare neoplastic disease
Rare pulmonary disease,101944,Rare respiratory disease
Pituitary deficiency,101957,Rare endocrine disease
Polyendocrinopathy,101956,Rare endocrine disease
Chronic primary adrenal insufficiency,101959,Rare endocrine disease
Primary adrenal insufficiency,101958,Rare endocrine disease
Rare dyslipidemia,101953,Rare endocrine disease
Rare diabetes mellitus,101952,Rare endocrine disease
Rare thyroid disease,101955,Rare endocrine disease
Rare adrenal disease,101954,Rare endocrine disease
"Early-onset severe Hermansky-Pudlak syndrome with hearing loss, due to AP3D1 deficiency",664511,Rare immune disease
Autosomal recessive dopa-responsive dystonia,101150,Rare neurologic disease
Hermansky-Pudlak syndrome due to AP3B1 deficiency,664500,Rare immune disease
Primary hemophagocytic lymphohistiocytosis without hypopigmentation,664482,Rare immune disease
Spinocerebellar ataxia type 25,101111,Rare neurologic disease
Spinocerebellar ataxia type 26,101112,Rare neurologic disease
Immune dysregulation disease with immunodeficiency associated with EBV susceptibility,664456,Rare immune disease
Spinocerebellar ataxia type 28,101109,Rare neurologic disease
Inherited cancer-predisposing lymphoproliferative syndrome,664450,Rare neoplastic disease
Gingival fibromatosis-aortic root dilatation-facial dysmorphism-intellectual disability syndrome,664438,Rare developmental defect during embryogenesis
Spinocerebellar ataxia type 20,101110,Rare neurologic disease
Spinocerebellar ataxia type 23,101108,Rare neurologic disease
Neurodevelopmental disorder-slit-like lateral ventricles-intellectual disability syndrome,664430,Rare developmental defect during embryogenesis
Brain abnormalities-severe developmental delay-facial dysmorphism-intellectual disability syndrome due to MEF2C mutation,664416,Rare developmental defect during embryogenesis
Brain abnormalities-severe developmental delay-facial dysmorphism-intellectual disability syndrome,664410,Rare developmental defect during embryogenesis
Common arterial trunk with pulmonary dominance and interrupted aortic arch,665058,Rare developmental defect during embryogenesis
Isolated congenital femoral bifurcation,667589,Rare developmental defect during embryogenesis
Common arterial trunk with aortic dominance,665044,Rare developmental defect during embryogenesis
African tick typhus,101334,Rare infectious disease
Neonatal renal venous thrombosis,664912,Rare renal disease
Congenital arthrogryposis-microcephaly-facial dysmorphism-severe neurodevelopmental delay syndrome,664923,Rare developmental defect during embryogenesis
Nicolau syndrome,664787,Rare skin disease
Porphyria cutanea tarda,101330,Rare inborn errors of metabolism
Trigeminal trophic syndrome,664901,Rare neurologic disease
EBV-induced lymphoproliferative disease due to TET2 deficiency,664729,Rare immune disease
EBV susceptibility with hemophagocytic lymphohistiocytosis as a major feature,664734,Rare immune disease
EBV-induced lymphoproliferative disease due to CD137 deficiency,664726,Rare immune disease
Pulmonary valve agenesis-tetralogy of Fallot-absence of ductus arteriosus syndrome,101206,Rare developmental defect during embryogenesis
EBV-induced lymphoproliferative disease due to PRKCD deficiency,664711,Rare immune disease
EBV-induced lymphoproliferative disease due to RASGRP1 deficiency,664699,Rare immune disease
Duodenal duplication,662473,Rare developmental defect during embryogenesis
Charcot-Marie-Tooth disease type 1F,101085,Rare neurologic disease
Small intestine duplication,662456,Rare developmental defect during embryogenesis
Placenta accreta spectrum disorder,662721,Rare gynecologic or obstetric disease
Jejuno-ileal duplication,662480,Rare developmental defect during embryogenesis
X-linked hyper-IgM syndrome,101088,Rare immune disease
Gallbladder duplication,662388,Rare developmental defect during embryogenesis
Charcot-Marie-Tooth disease type 1A,101081,Rare neurologic disease
Gastric duplication,662376,Rare developmental defect during embryogenesis
Charcot-Marie-Tooth disease type 1B,101082,Rare neurologic disease
Pyloric duplication,662405,Rare developmental defect during embryogenesis
Charcot-Marie-Tooth disease type 1C,101083,Rare neurologic disease
Colonic duplication,662392,Rare developmental defect during embryogenesis
Charcot-Marie-Tooth disease type 1D,101084,Rare neurologic disease
Frey syndrome,662240,Rare neurologic disease
X-linked Charcot-Marie-Tooth disease type 3,101077,Rare neurologic disease
X-linked Charcot-Marie-Tooth disease type 4,101078,Rare neurologic disease
Neurodevelopmental delay-congenital heart defects-intellectual disability syndrome,662234,Rare developmental defect during embryogenesis
NESCAV syndrome,662367,Rare neurologic disease
Grisel syndrome,662255,Rare skin disease
Mucopolysaccharidosis type 10,662216,Rare inborn errors of metabolism
Neurodevelopmental delay-brain malformations-skeletal defects-intellectual disability syndrome,662207,Rare developmental defect during embryogenesis
Episodic memory defect leukoencephalopathy,662229,Rare neurologic disease
X-linked Charcot-Marie-Tooth disease type 1,101075,Rare neurologic disease
X-linked Charcot-Marie-Tooth disease type 2,101076,Rare neurologic disease
MGP-related spondyloepiphyseal dysplasia,664377,Rare bone disease
Charcot-Marie-Tooth disease type 2H,101102,Rare neurologic disease
Cardiac anomalies-short stature-joint hypermobility-facial dysmorphism syndrome due to TAB2 mutation,664401,Rare developmental defect during embryogenesis
Charcot-Marie-Tooth disease type 2B2,101101,Rare neurologic disease
6q25.1 microdeletion syndrome,664404,Rare developmental defect during embryogenesis
Marin-Amat syndrome,101104,Rare ophthalmic disorder
Autosomal recessive Charcot-Marie-Tooth disease with hoarseness,101097,Rare neurologic disease
Soft and hard cleft palate,664372,Rare developmental defect during embryogenesis
Motor delay-microcephaly-speech impairment-ocular abnormalities syndrome,662762,Rare developmental defect during embryogenesis
Hyper-IgM syndrome type 3,101090,Rare immune disease
Vasa previa,662786,Rare gynecologic or obstetric disease
Hyper-IgM syndrome type 2,101089,Rare immune disease
Intellectual disability-speech delay-dysmorphic features-T cell abnormalities syndrome,662829,Rare developmental defect during embryogenesis
Hyper-IgM syndrome type 5,101092,Rare immune disease
Acute megakaryoblastic leukemia in adult,662934,Rare neoplastic disease
Hyper-IgM syndrome type 4,101091,Rare immune disease
Hobnail hemangioma,675362,Rare circulatory system disease
Anastomosing haemangioma,675359,Rare neoplastic disease
Spinocerebellar ataxia type 27B,675216,Rare neurologic disease
Familial hypocalciuric hypercalcemia type 2,101049,Rare endocrine disease
Familial hypocalciuric hypercalcemia type 3,101050,Rare endocrine disease
Bilateral diffuse uveal melanocytic proliferation disease,674968,Rare ophthalmic disorder
Isolated segmental infantile hemangioma,675380,Rare developmental defect during embryogenesis
Microvenular haemangioma,675369,Rare circulatory system disease
Congenital aortic valve dysplasia,101043,Rare developmental defect during embryogenesis
Isolated angioid streaks,674943,Rare ophthalmic disorder
Torpedo Maculopathy,674935,Rare ophthalmic disorder
Perifoveal exudative vascular anomalous complex,674930,Rare ophthalmic disorder
Familial hypofibrinogenemia,101041,Rare hematologic disease
Isolated retinal racemose hemangioma,674924,Rare ophthalmic disorder
Choroidal osteoma,674965,Rare ophthalmic disorder
Stellate multiform amelanotic choroidopathy,674958,Rare ophthalmic disorder
Multiple evanescent white dot syndrome,674953,Rare ophthalmic disorder
Diffuse unilateral subacute neuroretinitis,674947,Rare ophthalmic disorder
Autosomal dominant epilepsy with auditory features,101046,Rare neurologic disease
Congenital stromal corneal dystrophy,101068,Rare ophthalmic disorder
Severe congenital neutropenia-developmental delay-pancreatic insufficiency syndrome due to SRP54 deficiency,675767,Rare immune disease
Unilateral hemispheric polymicrogyria,101071,Rare developmental defect during embryogenesis
Bilateral frontoparietal polymicrogyria,101070,Rare developmental defect during embryogenesis
Acquired elastotic haemangioma,675597,Rare circulatory system disease
Epithelioid hemangioma,675396,Rare neoplastic disease
May-Thurner syndrome,675404,Rare circulatory system disease
TLR8-related inflammation-severe neutropenia-bone marrow failure-lymphoproliferation syndrome,675628,Rare immune disease
Situs inversus totalis,101063,Rare developmental defect during embryogenesis
Intraoral basal cell carcinoma,667678,Rare odontologic disease
Breast implant-associated anaplastic large cell lymphoma,667662,Rare neoplastic disease
Craniosynostosis-facial dysmorphism-brachydactyly syndrome,672979,Rare developmental defect during embryogenesis
Malignant vascular tumor,673466,Rare circulatory system disease
Craniosynostosis-skeletal and cerebellar anomalies-learning disabilities syndrome,672985,Rare developmental defect during embryogenesis
Cleft hard palate,101023,Rare developmental defect during embryogenesis
Borderline vascular tumor,673473,Rare circulatory system disease
Benign vascular tumor,673470,Rare circulatory system disease
Autosomal dominant spastic paraplegia type 29,101009,Rare neurologic disease
Autosomal spastic paraplegia type 30,101010,Rare neurologic disease
Autosomal dominant spastic paraplegia type 31,101011,Rare neurologic disease
Romano-Ward syndrome,101016,Rare cardiac disease
Classic pilocytic astrocytoma,673580,Rare neoplastic disease
Pilocytic astrocytoma with histological features of anaplasia,673585,Rare neoplastic disease
Proteoglycan-related bone disorder,674499,Rare bone disease
Syndrome with congenital phagocyte functional defect as a major feature,674648,Rare immune disease
Actinomyopathy-associated syndromic thrombocytopenia,674653,Rare hematologic disease
Early-onset autoinflammatory syndrome due to A20 haploinsufficiency,674762,Rare systemic or rheumatologic disease
Non-syndromic congenital phagocyte functional defect,674896,Rare immune disease
Female restricted epilepsy with intellectual disability,101039,Rare developmental defect during embryogenesis
Intravascular papillary endothelial hyperplasia,673525,Rare skin disease
Littoral cell hemangioma of the spleen,673538,Rare neoplastic disease
Transaldolase deficiency,101028,Rare inborn errors of metabolism
Papillary hemangioma,673543,Rare neoplastic disease
Subependymal nodular heterotopia,101030,Rare developmental defect during embryogenesis
Sub-cortical nodular heterotopia,101029,Rare developmental defect during embryogenesis
Pseudomyogenic hemangioendothelioma,673556,Rare neoplastic disease
Eccrine angiomatous hamartoma,673568,Rare skin disease
